experiment,variant,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,folds,CC_t_paper,CC_s_paper,MAE_paper,dCC_t
A_apnea,FPN,0.15469,0.03711,39.81532,75.63118,0.52456,0.78261,5,39.12,51.26,0.1531,0.7
A_apnea,UNet,0.15939,0.0399,20.65021,44.47213,0.55189,0.92124,5,56.14,69.97,0.14406,-35.49
A_apnea,LinkNet,0.15062,0.0363,36.72704,68.84624,0.51611,0.8503,5,56.22,70.35,0.14572,-19.49
A_apnea,MultiResLinkNet,0.15277,0.03657,41.75307,77.12377,0.52132,0.75752,5,55.33,74.66,0.14474,-13.58
A_apnea,CardioMamba-Net (ours),0.16453,0.0423,45.07136,82.55568,0.9266,0.9998,5,,,,
A_resting,FPN,0.16019,0.04175,47.26226,80.33136,0.524,0.72313,5,58.37,71.38,0.14204,-11.11
A_resting,UNet,0.16924,0.04455,20.47695,29.24395,0.57079,0.92257,5,63.1,74.68,0.13872,-42.62
A_resting,LinkNet,0.17069,0.04694,45.10603,77.29226,0.57268,0.79565,5,64.35,74.37,0.13588,-19.24
A_resting,MultiResLinkNet,0.16251,0.04119,49.92339,79.86253,0.53006,0.71038,5,66.1,82.44,0.13258,-16.18
A_resting,CardioMamba-Net (ours),0.17603,0.0469,56.65799,87.52456,0.91832,0.80957,5,,,,
A_valsalva,FPN,0.16249,0.04254,39.86281,76.3816,0.53763,0.78338,5,57.53,65.97,0.14985,-17.67
A_valsalva,UNet,0.17832,0.04601,30.80994,53.55703,0.57131,0.83828,5,58.38,68.79,0.15249,-27.57
A_valsalva,LinkNet,0.16266,0.04138,47.08821,79.79809,0.53798,0.76181,5,56.63,66.87,0.15087,-9.54
A_valsalva,MultiResLinkNet,0.16133,0.04158,51.48719,82.05561,0.53039,0.71381,5,60.14,77.05,0.15286,-8.65
A_valsalva,CardioMamba-Net (ours),0.16021,0.03984,51.47282,86.69168,0.86702,0.69925,5,,,,
