experiment,variant,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,folds,CC_t_paper,CC_s_paper,MAE_paper,dCC_t
B_rva,FPN,0.15747,0.04042,53.27368,82.65443,0.51614,0.74268,5,59.63,69.53,0.14316,-6.36
B_rva,UNet,0.16604,0.04333,28.71168,47.05604,0.54815,0.81392,5,57.65,68.39,0.14798,-28.94
B_rva,LinkNet,0.15591,0.0395,48.55006,79.33129,0.52041,0.73796,5,58.69,70.91,0.1478,-10.14
B_rva,MultiResLinkNet,0.16573,0.04269,44.61144,73.7015,0.5345,0.7623,5,61.86,79.96,0.14841,-17.25
B_rva,L2_loss_only,0.15651,0.03792,52.82052,87.83619,0.87563,0.69332,5,,,,
B_rva,L3_c1_only,0.16247,0.04046,59.62263,87.55379,0.89007,0.65083,5,,,,
B_rva,L4_c1_c5,0.15422,0.03765,56.4364,87.71232,0.86209,0.77744,5,,,,
B_rva,L5_no_wavelet,0.16201,0.03981,56.9078,89.09919,0.88718,0.71476,5,,,,
B_rva,L6_no_ssm,0.16219,0.04162,51.52269,87.21375,0.89093,0.69975,5,,,,
B_rva,L7_singletask,0.16281,0.04121,61.73937,88.81373,0.88346,0.82647,5,,,,
B_rva,L8_no_film,0.17155,0.04404,61.98473,89.15948,0.92399,0.69049,5,,,,
B_rva,CardioMamba-Net (ours),0.16487,0.04244,57.46445,87.44151,0.89921,0.75614,5,,,,
B_rva,CardioMamba-Net (Transformer),0.17013,0.04411,50.88737,87.59089,0.92301,0.73525,5,,,,
