,accuracy,F1,precision,recall,TP,FP,FN,timing_err_ms,missed_rate
FPN,0.396,0.4782,0.5804,0.4181,8325.8333,5500.6667,11885.8333,30.7726,0.5819
UNet,0.2691,0.3311,0.4636,0.2871,5528.3333,3840.3333,14683.3333,35.4601,0.7129
LinkNet,0.223,0.3045,0.4048,0.255,5259.6667,10354.0,14952.0,39.8003,0.745
MultiResLinkNet,0.514,0.627,0.783,0.5545,11096.3333,3230.1667,9115.3333,22.9601,0.4455
L2_loss_only,0.7662,0.8514,0.881,0.8332,16644.3333,1731.8333,3567.3333,27.3872,0.1668
L3_c1_only,0.6786,0.7883,0.9324,0.7024,13881.8333,770.8333,6329.8333,14.4965,0.2976
L4_c1_c5,0.6363,0.7488,0.8561,0.684,13497.3333,1797.0,6714.3333,20.0087,0.316
L5_no_wavelet,0.7105,0.8079,0.8879,0.7585,14962.6667,1355.6667,5249.0,17.3177,0.2415
L6_no_ssm,0.7292,0.8149,0.8797,0.7775,15189.1667,1452.5,5022.5,16.9271,0.2225
L7_singletask,0.7702,0.8485,0.8918,0.8229,16271.3333,1578.1667,3940.3333,15.4514,0.1771
L8_no_film,0.7725,0.8499,0.9016,0.8193,16256.5,1313.5,3955.1667,15.3212,0.1807
CardioMamba-Net (ours),0.7178,0.8125,0.8944,0.7638,15138.3333,1306.0,5073.3333,16.4062,0.2362
CardioMamba-Net (Transformer),0.6793,0.7799,0.861,0.7318,14526.3333,1890.1667,5685.3333,18.8368,0.2682
