,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,peak_F1,MAE_mean_hr_bpm,MAE_rmssd_ms,params,folds,dCC_t
1. MultiResLinkNet + MSE (baseline),0.16573448560144366,0.042689439216939754,44.61144258658137,73.701496813973,0.5344980777887727,0.7623040005426828,0.6208954643799882,14.282334179489677,263.9506285286406,9218556.0,5,0.0
2. + composite loss (C5),0.15651346608627764,0.03792452387718384,52.82052260046511,87.83619288112897,0.8756265336691275,0.6933175177256412,0.8451009010867784,4.06323364952293,185.82742953719125,9218556.0,5,8.21
3. + 8-channel input (C1),0.16247339726104076,0.04046483668313945,59.622627330500656,87.55378616164789,0.8900715622995179,0.650829964424906,0.7782782181851366,5.979861351722771,253.3422537724,9221692.0,5,15.01
4. + C1 + C5,0.15421660715409344,0.0376529719266156,56.436400553790826,87.71232080035686,0.8620852499345453,0.777444415207962,0.7382161320004149,5.812389151473442,263.38575753046507,9221692.0,5,11.82
"5. CardioMamba, no wavelet (-C2)",0.1620122350993129,0.039814712522081755,56.90780052732096,89.09919474317903,0.8871816851310408,0.7147585506419197,0.8069807409837697,4.269199816964408,215.46615900222287,3522488.0,5,12.3
"6. CardioMamba, no SSM (-C3)",0.1621853407328468,0.04161954019570856,51.522686593920945,87.21375453317935,0.8909311724548118,0.6997478277465643,0.8065669590538468,3.9733942959712367,206.81474163290287,3099388.0,5,6.91
"7. CardioMamba, single-task (-C4)",0.16280534306939667,0.04120543846438346,61.739365086308155,88.8137343455673,0.883457160942952,0.8264678266223845,0.8391162924238866,3.3699125578740663,184.0758296914707,4080698.0,5,17.13
"8. CardioMamba, no FiLM",0.17154795190918576,0.04404034269577747,61.9847270971793,89.1594777899813,0.9239870179447284,0.6904906545349256,0.84009037799684,3.1167087592432248,175.10800498423782,4088188.0,5,17.37
9. CardioMamba-Net (full),0.16487402867975393,0.0424356040472028,57.46445320993208,87.44150523535636,0.899212698913891,0.7561408329333312,0.8080479317791239,3.4977425827144044,200.82966417373618,4090620.0,5,12.85
10. Transformer bottleneck (control),0.17012725274659962,0.04411468527086111,50.88737037576991,87.59089167495482,0.923014279458432,0.7352517679444116,0.770550470898116,5.136291665248551,239.58558519137327,4548604.0,5,6.28
