,params,gflops,forward_ms,CC_temporal,M_params,CC_per_Mparam
"8. CardioMamba, no FiLM",4088188.0,1.239975172,25.130796432495117,61.9847270971793,4.088,15.16
"7. CardioMamba, single-task (-C4)",4080698.0,1.224836356,24.925899505615234,61.739365086308155,4.081,15.13
3. + 8-channel input (C1),9221692.0,3.484468992,18.650293350219727,59.622627330500656,9.222,6.47
CardioMamba-Net (ours),4090620.0,1.2447593,25.58274269104004,57.46445320993208,4.091,14.05
"5. CardioMamba, no wavelet (-C2)",3522488.0,1.026409984,838.0309104919434,56.90780052732096,3.522,16.16
4. + C1 + C5,9221692.0,3.484468992,18.95928382873535,56.436400553790826,9.222,6.12
FPN,2237313.0,0.54788096,741.8122291564941,53.27368011325348,2.237,23.81
2. + composite loss (C5),9218556.0,3.4780464640000006,1592.184066772461,52.82052260046511,9.219,5.73
"6. CardioMamba, no SSM (-C3)",3099388.0,1.137804548,48.1074333190918,51.522686593920945,3.099,16.63
CardioMamba-Net (Transformer),4548604.0,1.301382404,75.99668502807617,50.88737037576991,4.549,11.19
LinkNet,2775361.0,0.4980736,43.16897392272949,48.55005633542614,2.775,17.5
MultiResLinkNet,9218556.0,3.4780464640000006,62.61248588562012,44.61144258658137,9.219,4.84
UNet,12210881.0,2.793930752,40.95320701599121,28.711682097080903,12.211,2.35
