variant,corruption,level,channel,n,comparison_scale,MAE,MAE_std,MSE,MSE_std,CC_temporal,CC_temporal_std,CC_spectral,CC_spectral_std,RRMSE_temporal,RRMSE_temporal_std,RRMSE_spectral,RRMSE_spectral_std,R2,R2_std
L9_full,clean,0.0,,800,"[0,1]",0.1401844263402745,0.04041831953677146,0.030357683179153785,0.013938048034538216,63.008252087170824,20.99976504709981,86.78293885348731,11.465570738880105,0.4816677384852057,0.24404930063787353,0.6584111285562801,0.7544610320346198,-0.44396671622259115,1.141212741925093
L9_full,awgn,12.0,,800,"[0,1]",0.14009007848613692,0.04082278462260801,0.030609402302035158,0.01397255131787605,60.51519608824223,21.72063740133121,86.95428140899693,11.220079855095607,0.4818685066944879,0.23759202484757155,0.6570608074273607,0.6782367532413995,-0.4512333590597404,1.1352126587306874
L9_full,awgn,6.0,,800,"[0,1]",0.14111816243585054,0.03892061482231639,0.031201123345122338,0.013305705021029257,55.12135714021555,22.62303295146306,86.78505686572436,11.19038201262013,0.4846549097325939,0.22754397115830322,0.6397510720351081,0.38581555657263394,-0.4676336802251167,1.0534688905821792
L9_full,awgn,3.0,,800,"[0,1]",0.14622073057387752,0.035583721557704076,0.03312755078706186,0.012443679076593387,49.22384490405707,23.62600470594856,86.32796880684685,11.578369484093757,0.49898614325598234,0.22135899459587371,0.6389890764591257,0.1995174624949057,-0.5409409732163462,0.9349913334476958
L9_full,awgn,0.0,,800,"[0,1]",0.1533339812353006,0.03152048100237354,0.0363348270610905,0.01119819782454322,40.827475299742126,22.642412409634446,84.784392305656,13.13392270893774,0.5238787723307676,0.2228827202190281,0.6694768077566926,0.1665286099206021,-0.6714149834323255,0.8138365517491151
L9_full,awgn,-3.0,,800,"[0,1]",0.16045706121381953,0.02962232424245405,0.040639818818154365,0.011333275993568696,29.44657581362454,19.815344764873362,81.39866669856424,14.954551493863296,0.5505645822707085,0.21728020872212128,0.7339701525874225,0.1359777929279494,-0.8426626809013829,0.7752506394692128
L9_full,motion_drift,0.25,,800,"[0,1]",0.14035622517785667,0.060049199020325766,0.031956932477868814,0.02113791513644926,62.140265307658474,21.70288973887446,87.70441327452488,12.185523972405191,0.501741052023059,0.30993834676704507,0.6539551877660779,0.7377940852786188,-0.5432163375649008,1.3521240406653117
L9_full,motion_drift,0.5,,800,"[0,1]",0.16251215891974424,0.09684055663598384,0.04434713648111051,0.043746569371779606,59.018994196719305,23.195387120218193,87.77172025100364,12.854378355647619,0.5829241952089314,0.4421339147464203,0.667632288231691,0.7040767485867321,-1.1983628840285772,2.464333372316146
L9_full,channel_dropout,1.0,I,800,"[0,1]",0.1414692624192685,0.04210894767470265,0.03052244128572847,0.01473750557424648,63.788535172996035,22.06276099563914,87.72445442166995,10.999750309197548,0.4825750807423747,0.24734309841978833,0.5756513146797022,0.4126209164906363,-0.43370247867449807,1.0448902975910959
L9_full,channel_dropout,1.0,Q,800,"[0,1]",0.15712260979707934,0.04120057235387896,0.0341512732635402,0.014753011159501431,67.26706306217213,23.10724333792571,88.27517774608188,11.978291582625566,0.5101664231386155,0.26348708077261546,0.5534078672800798,0.37855905698194864,-0.6332623573609516,1.457632676987463
