experiment,model,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,folds
A_apnea,fpn,0.15469,0.03711,39.81532,75.63118,0.52456,0.78261,5
A_apnea,linknet,0.15062,0.0363,36.72704,68.84624,0.51611,0.8503,5
A_apnea,multireslinknet,0.15277,0.03657,41.75307,77.12377,0.52132,0.75752,5
A_apnea,unet,0.15939,0.0399,20.65021,44.47213,0.55189,0.92124,5
A_resting,fpn,0.16019,0.04175,47.26226,80.33136,0.524,0.72313,5
A_resting,linknet,0.17069,0.04694,45.10603,77.29226,0.57268,0.79565,5
A_resting,multireslinknet,0.16251,0.04119,49.92339,79.86253,0.53006,0.71038,5
A_resting,unet,0.16924,0.04455,20.47695,29.24395,0.57079,0.92257,5
A_valsalva,fpn,0.16249,0.04254,39.86281,76.3816,0.53763,0.78338,5
A_valsalva,linknet,0.16266,0.04138,47.08821,79.79809,0.53798,0.76181,5
A_valsalva,multireslinknet,0.16133,0.04158,51.48719,82.05561,0.53039,0.71381,5
A_valsalva,unet,0.17832,0.04601,30.80994,53.55703,0.57131,0.83828,5
B_rva,fpn,0.15747,0.04042,53.27368,82.65443,0.51614,0.74268,5
B_rva,linknet,0.15591,0.0395,48.55006,79.33129,0.52041,0.73796,5
B_rva,multireslinknet,0.16573,0.04269,44.61144,73.7015,0.5345,0.7623,5
B_rva,unet,0.16604,0.04333,28.71168,47.05604,0.54815,0.81392,5
