experiment,model,folds,CC_t_ours,CC_t_paper,CC_t_delta,CC_s_ours,CC_s_paper,MAE_ours,MAE_paper
A_apnea,fpn,5,39.82,39.12,0.7,75.63,51.26,0.15469,
A_apnea,linknet,5,36.73,56.22,-19.49,68.85,70.35,0.15062,
A_apnea,multireslinknet,5,41.75,55.33,-13.58,77.12,74.66,0.15277,
A_apnea,unet,5,20.65,56.14,-35.49,44.47,69.97,0.15939,
A_resting,fpn,5,47.26,58.37,-11.11,80.33,71.38,0.16019,
A_resting,linknet,5,45.11,64.35,-19.24,77.29,74.37,0.17069,
A_resting,multireslinknet,5,49.92,66.1,-16.18,79.86,82.44,0.16251,
A_resting,unet,5,20.48,63.1,-42.62,29.24,74.68,0.16924,
A_valsalva,fpn,5,39.86,57.53,-17.67,76.38,65.97,0.16249,
A_valsalva,linknet,5,47.09,56.63,-9.54,79.8,66.87,0.16266,
A_valsalva,multireslinknet,5,51.49,60.14,-8.65,82.06,77.05,0.16133,
A_valsalva,unet,5,30.81,58.38,-27.57,53.56,68.79,0.17832,
B_rva,fpn,5,53.27,59.63,-6.36,82.65,69.53,0.15747,0.14316
B_rva,linknet,5,48.55,58.69,-10.14,79.33,70.91,0.15591,0.1478
B_rva,multireslinknet,5,44.61,61.86,-17.25,73.7,79.96,0.16573,0.14841
B_rva,unet,5,28.71,57.65,-28.94,47.06,68.39,0.16604,0.14798
