,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,peak_F1,MAE_mean_hr_bpm,MAE_rmssd_ms,params,folds,dCC_t_vs_baseline
1. MultiResLinkNet + MSE  (baseline),0.16573448560144366,0.042689439216939754,44.61144258658137,73.701496813973,0.5344980777887727,0.7623040005426828,0.6208954643799882,14.282334179489677,263.9506285286406,9218556.0,5,0.0
2. + composite loss (C5),0.3130269321725553,0.15169809550873536,52.82052260046511,87.83619288112897,0.8756265336691275,0.6933175177256412,0.8451009010867784,4.06323364952293,185.82742953719125,9218556.0,5,8.21
3. + 8-channel input (C1),0.32494679452208153,0.1618593467325578,59.622627330500656,87.55378616164789,0.8900715622995179,0.650829964424906,0.7782782181851366,5.979861351722771,253.3422537724,9221692.0,5,15.01
4. + C1 + C5,0.3084332143081869,0.1506118877064624,56.436400553790826,87.71232080035686,0.8620852499345453,0.777444415207962,0.7382161320004149,5.812389151473442,263.38575753046507,9221692.0,5,11.82
"5. CardioMamba, no wavelet (-C2)",0.2993861866642778,0.1440374738334114,61.54755614040622,89.11481066637515,0.8396321577047098,0.7530021009993768,0.8677760291120903,3.074950635735527,180.0838016414622,3522488.0,3,16.94
"6. CardioMamba, no SSM (-C3)",0.3187400493391677,0.1639044414202647,57.98050012215166,90.32280004260583,0.9151625784376947,0.7013327031072155,0.9024516444532543,2.2111071347679814,135.42760464133855,3099388.0,3,13.37
"7. CardioMamba, single-task (-C4)",0.2562196883380855,0.13007575643305858,63.487222181004654,89.22636123289593,0.7474097418823267,1.5561259585061444,0.908780454056793,2.2888276808717336,166.54262344490144,4080698.0,1,18.88
"8. CardioMamba, no FiLM refinement",0.3775137281844801,0.20857454517543328,56.666094874453776,90.63067064051428,1.0954141663043275,0.6998626388200456,0.8874860406673051,1.6758386651555996,129.9118675078957,4088188.0,2,12.05
"9. CardioMamba-Net (full, C1-C5)",0.28728895979949226,0.14008243889324565,64.98605138199171,87.98766449736524,0.7681176432560356,1.1011572242601038,0.9222705261958593,2.047754073854361,133.492483981744,4090620.0,1,20.37
10. Transformer bottleneck (control),0.2938873220670187,0.1450639429283516,63.67608954988437,88.81590873164059,0.7872118740439136,0.9741854808672091,0.9011652036487156,2.49136810832971,152.0475436600914,4548604.0,1,19.06
