rec_id,n_radar,n,expected_125_n,fs_radar,fs_ecg
GDN0004__Apnea,293800,18363,18363,2000.0,2000.0
GDN0005__Apnea,301700,18857,18857,2000.0,2000.0
GDN0007__Apnea,372500,23282,23282,2000.0,2000.0
GDN0008__Apnea,213750,13360,13360,2000.0,2000.0
GDN0009__Apnea,454800,28425,28425,2000.0,2000.0
GDN0010__Apnea,529650,33104,33104,2000.0,2000.0
GDN0011__Apnea,409750,25610,25610,2000.0,2000.0
GDN0012__Apnea,803600,50225,50225,2000.0,2000.0
GDN0013__Apnea,217800,13613,13613,2000.0,2000.0
GDN0014__Apnea,788400,49275,49275,2000.0,2000.0
GDN0016__Apnea,226750,14172,14172,2000.0,2000.0
GDN0017__Apnea,305700,19107,19107,2000.0,2000.0
GDN0018__Apnea,190850,11929,11929,2000.0,2000.0
GDN0019__Apnea,248500,15532,15532,2000.0,2000.0
GDN0020__Apnea,493550,30847,30847,2000.0,2000.0
GDN0021__Apnea,209250,13079,13079,2000.0,2000.0
GDN0022__Apnea,307450,19216,19216,2000.0,2000.0
GDN0023__Apnea,583350,36460,36460,2000.0,2000.0
GDN0025_no02__Apnea,683300,42707,42707,2000.0,2000.0
GDN0027__Apnea,335300,20957,20957,2000.0,2000.0
GDN0028__Apnea,484300,30269,30269,2000.0,2000.0
GDN0029__Apnea,331000,20688,20688,2000.0,2000.0
GDN0030__Apnea,338050,21129,21129,2000.0,2000.0
GND0006__Apnea,287350,17960,17960,2000.0,2000.0
GDN0001__Resting,1215200,75950,75950,2000.0,2000.0
GDN0002__Resting,1244700,77794,77794,2000.0,2000.0
GDN0003__Resting,1202700,75169,75169,2000.0,2000.0
GDN0004__Resting,1206150,75385,75385,2000.0,2000.0
GDN0005__Resting,1220200,76263,76263,2000.0,2000.0
GDN0007__Resting,1269850,79366,79366,2000.0,2000.0
GDN0008__Resting,1237150,77322,77322,2000.0,2000.0
GDN0009__Resting,1298800,81175,81175,2000.0,2000.0
GDN0010__Resting,1278250,79891,79891,2000.0,2000.0
GDN0011__Resting,1297850,81116,81116,2000.0,2000.0
GDN0012__Resting,1296900,81057,81057,2000.0,2000.0
GDN0013__Resting,1451250,90704,90704,2000.0,2000.0
GDN0014__Resting,1207000,75438,75438,2000.0,2000.0
GDN0015__Resting,1296900,81057,81057,2000.0,2000.0
GDN0016__Resting,1221100,76319,76319,2000.0,2000.0
GDN0017__Resting,1206500,75407,75407,2000.0,2000.0
GDN0018__Resting,1271950,79497,79497,2000.0,2000.0
GDN0019__Resting,1206200,75388,75388,2000.0,2000.0
GDN0020__Resting,1280300,80019,80019,2000.0,2000.0
GDN0021__Resting,1227850,76741,76741,2000.0,2000.0
GDN0022__Resting,1319500,82469,82469,2000.0,2000.0
GDN0023__Resting,1357700,84857,84857,2000.0,2000.0
GDN0024__Resting,1220950,76310,76310,2000.0,2000.0
GDN0025_no02__Resting,1233850,77116,77116,2000.0,2000.0
GDN0026__Resting,1642050,102629,102629,2000.0,2000.0
GDN0027__Resting,1255750,78485,78485,2000.0,2000.0
GDN0028__Resting,1223800,76488,76488,2000.0,2000.0
GDN0029__Resting,1231700,76982,76982,2000.0,2000.0
GDN0030__Resting,1253200,78325,78325,2000.0,2000.0
GND0006__Resting,1221850,76366,76366,2000.0,2000.0
GDN0001__TiltDown,1369300,85582,85582,2000.0,2000.0
GDN0002__TiltDown,834000,52125,52125,2000.0,2000.0
GDN0003__TiltDown,1285500,80344,80344,2000.0,2000.0
GDN0004__TiltDown,1328100,83007,83007,2000.0,2000.0
GDN0005__TiltDown,1210550,75660,75660,2000.0,2000.0
GDN0007__TiltDown,1289450,80591,80591,2000.0,2000.0
GDN0008__TiltDown,1320850,82554,82554,2000.0,2000.0
GDN0009__TiltDown,1263350,78960,78960,2000.0,2000.0
GDN0010__TiltDown,1276000,79750,79750,2000.0,2000.0
GDN0011__TiltDown,1258050,78629,78629,2000.0,2000.0
GDN0012__TiltDown,1270750,79422,79422,2000.0,2000.0
GDN0013__TiltDown,1285400,80338,80338,2000.0,2000.0
GDN0014__TiltDown,1262950,78935,78935,2000.0,2000.0
GDN0016__TiltDown,1365250,85329,85329,2000.0,2000.0
GDN0017__TiltDown,1304050,81504,81504,2000.0,2000.0
GDN0019__TiltDown,1333400,83338,83338,2000.0,2000.0
GDN0020__TiltDown,1198750,74922,74922,2000.0,2000.0
GDN0021__TiltDown,1273950,79622,79622,2000.0,2000.0
GDN0022__TiltDown,1355450,84716,84716,2000.0,2000.0
GDN0023__TiltDown,1281650,80104,80104,2000.0,2000.0
GDN0025_no02__TiltDown,1281100,80069,80069,2000.0,2000.0
GDN0026__TiltDown,1534600,95913,95913,2000.0,2000.0
GDN0027__TiltDown,1330950,83185,83185,2000.0,2000.0
GDN0028__TiltDown,1274900,79682,79682,2000.0,2000.0
GDN0029__TiltDown,1282100,80132,80132,2000.0,2000.0
GDN0030__TiltDown,1311650,81979,81979,2000.0,2000.0
GND0006__TiltDown,1331450,83216,83216,2000.0,2000.0
GDN0001__TiltUp,196300,12269,12269,2000.0,2000.0
GDN0002__TiltUp,1178000,73625,73625,2000.0,2000.0
GDN0003__TiltUp,1537400,96088,96088,2000.0,2000.0
GDN0004__TiltUp,1395200,87200,87200,2000.0,2000.0
GDN0005__TiltUp,896150,56010,56010,2000.0,2000.0
GDN0007__TiltUp,1269850,79366,79366,2000.0,2000.0
GDN0008__TiltUp,1413900,88369,88369,2000.0,2000.0
GDN0009__TiltUp,1283800,80238,80238,2000.0,2000.0
GDN0010__TiltUp,1285800,80363,80363,2000.0,2000.0
GDN0011__TiltUp,1266850,79179,79179,2000.0,2000.0
GDN0012__TiltUp,1272250,79516,79516,2000.0,2000.0
GDN0013__TiltUp,1322550,82660,82660,2000.0,2000.0
GDN0014__TiltUp,1309850,81866,81866,2000.0,2000.0
GDN0016__TiltUp,1419150,88697,88697,2000.0,2000.0
GDN0017__TiltUp,1289450,80591,80591,2000.0,2000.0
GDN0019__TiltUp,1364200,85263,85263,2000.0,2000.0
GDN0020__TiltUp,1436137,89759,89759,2000.0,2000.0
GDN0021__TiltUp,1520500,95032,95032,2000.0,2000.0
GDN0022__TiltUp,1300450,81279,81279,2000.0,2000.0
GDN0023__TiltUp,1311100,81944,81944,2000.0,2000.0
GDN0025_no02__TiltUp,1296250,81016,81016,2000.0,2000.0
GDN0026__TiltUp,1389150,86822,86822,2000.0,2000.0
GDN0027__TiltUp,1338900,83682,83682,2000.0,2000.0
GDN0028__TiltUp,1271700,79482,79482,2000.0,2000.0
GDN0029__TiltUp,1290750,80672,80672,2000.0,2000.0
GND0006__TiltUp,1591300,99457,99457,2000.0,2000.0
GDN0001__Valsalva,2001050,125066,125066,2000.0,2000.0
GDN0002__Valsalva,1986950,124185,124185,2000.0,2000.0
GDN0003__Valsalva,2114250,132141,132141,2000.0,2000.0
GDN0004__Valsalva,2176550,136035,136035,2000.0,2000.0
GDN0005__Valsalva,2165950,135372,135372,2000.0,2000.0
GDN0007__Valsalva,1983050,123941,123941,2000.0,2000.0
GDN0008__Valsalva,1975100,123444,123444,2000.0,2000.0
GDN0009__Valsalva,1953350,122085,122085,2000.0,2000.0
GDN0010__Valsalva,1983300,123957,123957,2000.0,2000.0
GDN0011__Valsalva,1951950,121997,121997,2000.0,2000.0
GDN0012__Valsalva,1960650,122541,122541,2000.0,2000.0
GDN0013__Valsalva,2018900,126182,126182,2000.0,2000.0
GDN0014__Valsalva,1967000,122938,122938,2000.0,2000.0
GDN0016__Valsalva,1982750,123922,123922,2000.0,2000.0
GDN0017__Valsalva,2120700,132544,132544,2000.0,2000.0
GDN0018__Valsalva,2318100,144882,144882,2000.0,2000.0
GDN0019__Valsalva,2209900,138119,138119,2000.0,2000.0
GDN0020__Valsalva,1973900,123369,123369,2000.0,2000.0
GDN0021__Valsalva,2133050,133316,133316,2000.0,2000.0
GDN0022__Valsalva,2189750,136860,136860,2000.0,2000.0
GDN0023__Valsalva,1984800,124050,124050,2000.0,2000.0
GDN0025_no02__Valsalva,2056450,128529,128529,2000.0,2000.0
GDN0027__Valsalva,2074650,129666,129666,2000.0,2000.0
GDN0028__Valsalva,1985350,124085,124085,2000.0,2000.0
GDN0029__Valsalva,1993000,124563,124563,2000.0,2000.0
GDN0030__Valsalva,2057000,128563,128563,2000.0,2000.0
GND0006__Valsalva,2619100,163694,163694,2000.0,2000.0
